Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Zilean,0,0,0%,,,,,-,,,,,,,
RekSai,0,0,0%,,,,,-,,,,,,,
VelKoz,0,0,0%,,,,,-,,,,,,,
Ekko,0,0,0%,,,,,-,,,,,,,
Tahm Kench,0,0,0%,,,,,-,,,,,,,
Kindred,0,0,0%,,,,,-,,,,,,,
Illaoi,0,0,0%,,,,,-,,,,,,,
Kled,0,0,0%,,,,,-,,,,,,,
Kayn,0,0,0%,,,,,-,,,,,,,
Zoe,0,0,0%,,,,,-,,,,,,,
Pyke,0,0,0%,,,,,-,,,,,,,
Neeko,0,0,0%,,,,,-,,,,,,,
Yuumi,0,0,0%,,,,,-,,,,,,,
Qiyana,0,0,0%,,,,,-,,,,,,,
Aphelios,0,0,0%,,,,,-,,,,,,,
Sett,0,0,0%,,,,,-,,,,,,,
Samira,0,0,0%,,,,,-,,,,,,,
Gwen,0,0,0%,,,,,-,,,,,,,
Akshan,0,0,0%,,,,,-,,,,,,,
Vex,0,0,0%,,,,,-,,,,,,,
Belveth,0,0,0%,,,,,-,,,,,,,
Nilah,0,0,0%,,,,,-,,,,,,,
Milio,0,0,0%,,,,,-,,,,,,,
Naafiri,0,0,0%,,,,,-,,,,,,,
Briar,0,0,0%,,,,,-,,,,,,,
Aurora,0,0,0%,,,,,-,,,,,,,
