Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Elio,,39,74.40%,3.5,1.2,3.7,11.8,1.4,265,70.30%,7.8,225,3.82,2.17,0.53,0.56,95,5,308,35.90%,17.90%,0,1
Elk,,46,71.70%,6.8,4.9,1.8,7.3,8.6,454,69.80%,28.6,802,1.48,0.52,0.37,0.15,467,43,1309,4.30%,0%,0,1
Ellim,,32,34.40%,3.2,2.4,3,7.3,6.7,363,77.70%,22,529,1.68,0.61,0.32,0.34,44,1,206,31.30%,3.10%,0,1
Eloha,,32,68.80%,2.9,3.9,3.4,5.9,7.8,407,47.80%,21,571,0.95,0.42,0.11,0.1,452,6,215,6.30%,15.60%,0,19
Elramir,,31,77.40%,4.6,2.8,3.4,12.9,5.9,364,77.70%,14.8,417,1.59,0.41,0.33,0.38,313,3,188,35.50%,9.70%,0,5
Elyoya,,26,38.50%,3.7,2.6,2.8,7.8,6,337,73.10%,16.7,401,1.65,0.44,0.4,0.32,63,2,52,23.10%,3.80%,0,3
Emo,,39,74.40%,5.6,5.4,2.1,6.2,9.3,455,62.30%,23.1,677,1.22,0.45,0.26,0.16,-344,-9,-302,10.30%,2.60%,0,10
Empyros,,32,59.40%,3.6,2.4,2.3,5.7,8.1,385,52.30%,18.4,478,1.14,0.41,0.19,0.23,-375,-5,-365,18.80%,9.40%,0,19
Endless,,14,42.90%,3.3,4.5,2.8,4.8,8.6,428,65.60%,24.9,619,0.77,0.33,0.2,0.03,-4,-5,-138,35.70%,0%,0,2
Endz,,14,7.10%,1.1,1,4.9,4.4,1.7,242,64.20%,10.7,219,2.2,0.99,0.31,0.21,-252,8,24,28.60%,14.30%,0,4
Enjawve,,6,50%,2,0.8,7.3,13.8,1,243,68.30%,8.6,247,3.15,1.82,0.27,0.57,-458,-17,-300,16.70%,16.70%,0,-
Enosh,,45,40%,4.5,3.6,1.8,4.5,9.4,418,71.90%,25.8,597,1.3,0.57,0.3,0.19,-143,-1,110,22.20%,6.70%,0,1
Enso,,22,27.30%,2.2,0.7,3.9,8,1,237,71.70%,8.4,209,3.39,1.83,0.44,0.51,-87,-1,-66,31.80%,22.70%,0,-
Envy,,18,11.10%,3.1,3.3,2.3,4.1,9.1,416,72.60%,29.5,582,1.28,0.47,0.28,0.2,273,-1,118,27.80%,11.10%,0,3
Envy Carry,,21,38.10%,2.4,3.8,4.3,6.6,7.9,398,57%,24.3,651,0.94,0.38,0.16,0.12,-864,-14,-461,9.50%,28.60%,0,8
Envyy,,29,20.70%,1.9,2.6,3.1,3.3,9.2,395,60.80%,27.1,585,1.01,0.33,0.33,0.13,-282,7,95,31%,6.90%,0,4
