Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,VGPG,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Detonation FocusMe,S14,JP,42,64.30%,1.28,1928,108,30:39:00,18,14.1,6.9,5.2,50,54.8,2.43,59.4,2.5,0.45,45.2,0.88,0.2,862,5,0.81,60.8,32.9,2865,3,1.23,1.69
devils.one,S14,PL,14,35.70%,0.82,1794,-111,33:30:00,13.7,16.8,5.3,7.4,35.7,35.7,2.57,50.4,2.9,0.36,35.7,1,-0.1,-968,3,0.64,35.7,32.9,2532,3.2,0.79,1.24
Diamant Esports,S14,RS,14,35.70%,0.8,1755,-158,31:04:00,13.4,16.7,5.4,7.4,28.6,42.9,2.07,46,1.6,0.21,21.4,1.14,-0.1,-836,3.5,0.57,33.3,31.3,2364,2.6,0.92,1.01
Dignitas,S14,NA,25,44.00%,0.82,1820,-77,32:37:00,12.3,14.9,5.5,7.1,28,56,2.12,47.6,2.2,0.32,32,0.8,0,-652,4.84,0.76,45.5,34.6,2443,3.4,0.98,1.72
Dire Wolves,S14,OCE,17,29.40%,0.83,1810,-227,28:30:00,16.4,19.6,3.8,8.1,47.1,35.3,2.12,55.2,1.4,0.29,29.4,1.12,-0.5,-1777,4.12,0.41,34.4,31.2,2605,2.9,0.83,1
Direct Rising eSports,S14,DE,18,33.30%,0.72,1898,-46,30:55:00,15.1,20.9,6.3,7.1,50,61.1,1.72,40.6,3.2,0.39,38.9,0.72,-0.1,-642,4.89,0.56,46.1,32.3,2820,2.7,0.83,1.12
Disguised,S14,NA,31,41.90%,1.02,1832,-17,32:36:00,15.1,14.8,5.9,6.2,54.8,54.8,2.45,52.9,2.7,0.55,54.8,1.1,0.1,-178,4.23,0.58,41.1,33,2534,3.3,1.05,1.42
DK Challengers,S14,KR,50,70.00%,1.56,1934,167,31:34:00,15.9,10.1,7,4.7,50,58,2.48,54.6,2.2,0.36,36.7,1.02,0.1,788,3.84,0.84,63.5,35.5,2735,3.3,1.15,1.74
DKB Diamonds,S14,DE,28,67.90%,1.19,1945,118,30:11:00,17.1,14.4,7.8,5.4,39.3,67.9,2.36,51.7,4.1,0.39,39.3,0.93,0.2,459,5,0.86,59.5,33.4,2811,2.8,0.92,1.21
DMG Esports,S14,EUW,21,47.60%,0.99,1843,-8,29:24:00,14.1,14.1,5.7,6.3,57.1,38.1,2.43,57.3,2.4,0.24,23.8,1.14,0,391,4.29,0.43,37.5,33.5,2718,2.6,0.66,1.13
Dplus KIA,S14,KR,49,65.30%,1.47,1908,144,33:19:00,15.5,10.6,7.1,5,61.2,49,2.45,53.9,2.3,0.49,49,0.9,-0.2,529,4.57,0.96,62.8,34.2,2606,3.8,1.48,1.83
Dragonsteel,S14,NA,23,87.00%,1.5,2015,281,31:48:00,19.3,12.9,8.6,3.7,69.6,69.6,2.91,65.3,2.9,0.65,65.2,1.26,0.3,1821,4.39,1.09,80.3,34.4,3139,3,0.96,1.54
DREN Esports,S14,IT,6,0.00%,0.4,1628,-475,29:16:00,8.8,22.2,2.7,10.2,-,16.7,1.5,38.3,1.7,0.33,33.3,1,-0.8,-3344,4.33,0,0,30,2027,2.6,0.76,1.02
DRX,S14,KR,40,25.00%,0.66,1732,-215,31:00:00,9.1,13.8,4.2,7.6,50,37.5,1.65,36.6,3.2,0.53,52.5,0.78,-0.2,-898,2.88,0.45,26.9,34.3,2183,3.8,1.4,1.76
DRX Challengers,S14,KR,42,35.70%,0.74,1822,-112,31:12:00,12.3,16.6,5.3,6.8,45.2,59.5,1.93,46.7,3,0.36,35.7,0.74,0.3,250,4.88,0.62,41.3,33.9,2658,3.5,1.42,1.68
Dsyre Esports,S14,IT,32,59.40%,1.27,1871,47,30:59:00,15.1,11.8,6.8,5.8,56.3,40.6,2.44,55.3,2.8,0.41,40.6,0.72,0,243,4.09,0.69,48.9,33.9,2584,3.3,1.12,1.49
Dynamo Eclot,S14,CZ,22,45.50%,0.75,1792,-72,32:01:00,12.9,17.2,6,6.5,40.9,45.5,2.18,51.9,3.4,0.55,57.1,1.05,0,-664,4.1,0.77,49.2,32.1,2624,3.3,1.21,1.25
Dynasty,S14,BE,14,50.00%,1.13,1877,48,31:10:00,16.9,15,5.7,5.9,71.4,57.1,2.43,55,2.9,0.43,42.9,1.36,0.2,922,3.5,0.71,50,32.4,2777,3.1,0.88,1.3
E WIE EINFACH E-SPORTS,S14,DE,18,33.30%,0.82,1817,-121,31:06:00,13.5,16.4,5.1,7.7,61.1,16.7,2.28,49.5,2.4,0.5,50,1.06,-0.5,-1316,4.06,0.72,41.7,32.9,2325,3,0.92,1.14
ECORP,S14,ES,22,59.10%,1.25,1869,49,32:50:00,16,12.8,6.8,6.1,36.4,40.9,2.14,45.8,3.5,0.5,50,0.82,-0.3,44,3.91,1.05,58.3,33.4,2449,3.4,1.14,1.31
Edward Gaming,S14,CN,31,41.90%,0.92,1851,-29,34:27:00,11.9,12.8,6.3,6.7,61.3,32.3,2.32,45.8,3,0.45,45.2,-,-,-748,-,0.94,50.3,34.8,2360,3.9,1.34,1.91
EGN Esports,S14,PT,26,65.40%,1.36,1934,150,30:12:00,17.7,13,7.5,4.8,73.1,53.8,2.15,48.5,4,0.65,65.4,0.81,0.2,1259,5.08,1.04,72,32,2674,2.8,0.85,1.07
Eintracht Frankfurt,S14,DE,18,33.30%,0.78,1800,-113,32:27:00,12.6,16.2,5,7.3,44.4,27.8,2,40.2,3.2,0.56,55.6,0.72,-0.2,102,4,0.44,33.3,33.7,2574,3.2,1.09,1.57
Eintracht Spandau,S14,DE,30,60.00%,0.93,1933,80,31:41:00,15.8,16.8,7.3,5.3,53.3,70,2.13,47.8,3.5,0.6,60,0.8,0.6,1167,6.57,0.87,51.7,33.9,2758,3.5,1.23,1.48
EKO Academy,S14,IT,20,50.00%,0.95,1873,-41,30:34:00,16.4,17.3,5.5,6.2,45,50,2,46.3,1.9,0.6,60,0.85,0,-172,3.85,0.75,44.2,32.5,2559,2.8,0.8,1.26
ENEMI3S,S14,IT,13,30.80%,0.95,1806,-97,30:48:00,13.3,14.1,5,7.5,46.2,30.8,1.92,43,3,0.46,50,0.83,-0.3,-453,4.08,0.69,45.5,32.7,2345,2.8,0.86,1.04
Entropiq,S14,CZ,32,78.10%,1.56,1979,233,30:17:00,16,10.2,8.2,3.9,37.5,71.9,2.28,56,3.6,0.63,64.5,0.61,0.4,1493,5.32,1.06,79.4,35.7,2536,3.1,0.92,1.39
EPIC-DUDES,S14,DE,21,38.10%,0.64,1817,-223,28:18:00,14.6,22.6,4.3,7.5,42.9,23.8,1.76,43.9,2.8,0.38,40,0.81,-0.5,-2388,2.86,0.62,39.5,31.3,2619,2.4,0.48,1
eSports Cologne GAMERS ONLY,S14,DE,18,38.90%,1.08,1791,-123,30:05:00,15.2,14.1,4.8,7.2,55.6,33.3,2.17,47.6,2.7,0.56,55.6,0.67,0.1,-20,4.83,0.28,21.9,32.1,2434,2.7,0.89,1.13
Esprit Shonen,S14,FR,18,38.90%,0.88,1818,-94,32:52:00,14.9,16.9,6.2,6.9,50,38.9,1.78,36.4,3.1,0.5,50,0.56,-0.2,-673,4.44,0.72,49,31.9,2792,2.7,0.68,1.19
Estral Esports,S14,LAT,33,51.50%,1.18,1902,49,32:51:00,17.7,14.9,6.8,6.3,60.6,66.7,2.15,49.5,2.8,0.64,63.6,0.82,0.2,634,4.58,0.94,62,32.9,2735,3.6,1.45,1.56
eSuba,S14,CZ,14,14.30%,0.63,1683,-278,33:01:00,10.9,17.2,3.5,8.4,42.9,28.6,1.64,32.3,2.1,0.29,28.6,0.64,-0.2,-1470,2.43,0.29,17.9,31.9,2377,2.8,0.83,1.13
Falke Esports,S14,ES,13,23.10%,0.7,1718,-235,35:01:00,14.7,21.1,4.5,8.6,38.5,46.2,2.08,43.5,2.2,0.54,53.8,0.92,0.1,-972,3.62,0.38,14.6,30.1,2743,2.9,0.92,1.03
FC Schalke 04 Evolution,S14,DE,38,57.90%,1.2,1866,37,31:54:00,16.5,13.8,6.1,5.9,44.7,63.2,2.76,63.6,2.4,0.32,32.4,1.13,-0.1,187,4.11,0.74,50.7,32.8,2772,3.4,0.84,1.4
Fear x Starforge,S14,NA,25,64.00%,1,1875,67,32:39:00,15.2,15.2,7.1,5.4,56,48,2.76,58.3,3,0.48,48,0.96,-0.1,222,3.76,0.72,54.2,33.5,2843,3.3,0.96,1.49
FearX,S14,KR,45,40.00%,0.88,1827,-64,31:03:00,11.6,13.3,5.2,6.6,37.8,40,1.69,39.3,3.8,0.58,57.8,0.58,-0.1,-779,4.2,0.64,43.9,34.7,2363,3.8,1.35,1.68
FearX Challengers,S14,KR,50,52.00%,1,1883,55,32:21:00,13.4,13.3,6.3,6,50,46,1.92,43.9,3.2,0.66,66,0.62,-0.1,308,4.34,0.8,56.7,34.9,2575,3.5,1.31,1.62
Flamengo Academy,S14,BR,13,30.80%,0.92,1778,-116,33:42:00,14.2,15.4,4.8,7.2,46.2,53.8,2.31,47.7,2.4,0.46,46.2,0.92,-0.1,-502,3,0.54,37.2,32.8,2335,3.8,1.49,1.57
Fluxo,S14,BR,27,40.70%,0.8,1762,-114,32:42:00,10.7,13.4,5.4,7.2,44.4,37,1.89,39.9,3,0.56,55.6,0.63,-0.3,-602,3.07,0.59,37,33.2,2296,3.5,1.33,1.66
Fluxo Academy,S14,BR,13,30.80%,0.67,1764,-156,30:44:00,10.8,16.1,4.3,7.3,30.8,30.8,1.46,32.7,2.2,0.38,38.5,0.69,-0.5,-1802,2.62,0.38,34.6,32.7,2130,3.4,1.14,1.5
FlyQuest,S14,NA,29,62.10%,1.35,1900,133,31:54:00,15.2,11.2,6.8,5.2,51.7,48.3,2.17,54.4,2.4,0.48,50,0.83,0.2,642,5.52,0.72,60.3,34.2,2526,3.5,1.04,1.44
FlyQuest Challengers,S14,NA,28,60.70%,1.27,1919,155,33:53:00,18.5,14.5,7.1,4.7,46.4,64.3,2.29,46.4,3,0.61,60.7,0.75,0.2,913,4.46,1.04,66.1,33.6,2916,3.2,0.89,1.49
Fnatic,S14,EUW,32,59.40%,1.2,1926,106,32:13:00,15.3,12.7,7.3,5.9,46.9,40.6,2.16,48.7,3.3,0.41,41.9,0.81,-0.1,358,5.22,0.88,57.3,34.9,2628,3.3,0.92,1.71
Forsaken,S14,PL,24,66.70%,1.39,2022,224,29:12:00,18.5,13.3,7.9,4.8,58.3,70.8,2.75,70.3,2.8,0.63,62.5,1.21,0.7,2101,6.92,0.88,73.2,34,3056,3,0.91,1.29
Fox Gaming,S14,AL,14,42.90%,0.76,1807,-146,31:42:00,14.7,19.4,5.5,7.2,50,42.9,2.07,47.7,3.1,0.64,64.3,0.71,-0.2,-968,3.29,0.71,36.9,32.1,2423,2.6,0.9,1.2
Frank Esports,S14,PCS,49,65.30%,1.35,1898,130,31:41:00,14.4,10.6,6.9,4.6,69.4,65.3,2.51,57.2,2.8,0.59,61.7,0.96,0.4,1413,4.49,0.84,60.9,34.4,2782,3.7,1.21,1.77
Funplus Phoenix,S14,CN,42,40.50%,0.85,1848,-98,32:57:00,14.3,16.7,5.8,7.3,57.1,38.1,1.86,39.7,2.9,0.67,66.7,-,-,-458,-,0.64,39,33.4,2514,3.7,1.18,1.83
FURIA Academy,S14,BR,27,63.00%,1.06,1928,137,32:59:00,15.1,14.3,7.9,4.6,70.4,66.7,2.59,55.8,3.2,0.56,55.6,0.89,0.5,879,4.44,0.89,62.3,35.1,2727,3.7,1.49,1.71
FURIA Esports,S14,BR,35,51.40%,1.13,1824,43,32:31:00,13.7,12.1,6.3,5.6,65.7,51.4,2.23,51.6,2.7,0.46,45.7,0.8,0.1,846,4.23,0.89,58.6,33,2723,3.5,1.27,1.67
FURY Global,S14,OCE,16,37.50%,0.77,1893,-53,27:01:00,16.3,21,5.4,6.1,37.5,37.5,1.44,47,2.4,0.38,40,0.94,-0.1,-1116,5.81,0.56,46.4,31.2,2717,2.9,0.98,0.93
FUT Esports,S14,TR,29,51.70%,1.06,1851,28,31:58:00,13.8,13,6.2,5.7,58.6,58.6,2.14,48.2,3,0.66,65.5,0.9,-0.2,23,3.9,0.9,60.1,33.9,2545,3.4,1.14,1.54
G2 Esports,S14,EUW,43,67.40%,1.09,1938,120,33:37:00,16.1,14.8,8.2,5,48.8,69.8,2.49,55.1,2.4,0.53,53.5,0.74,0.3,415,5.72,1.12,68.6,34,2858,3.6,1.11,1.6
Galakticos,S14,TR,14,0.00%,0.43,1640,-435,28:58:00,8.1,18.6,2,9.9,21.4,21.4,1.36,35.7,1.6,0.29,28.6,0.71,-0.5,-2136,2.64,0,0,31.3,1995,2.9,0.85,1.18
GAM Esports,S14,VN,39,74.40%,1.35,1978,152,33:08:00,18.5,13.7,7.5,5.1,56.4,46.2,2.79,56,2.7,0.46,46.2,0.95,-0.1,127,4.46,1.03,66,35.2,2945,4,1.34,1.83
Gamespace Mediterranean College Esports,S14,GR,20,40.00%,0.94,1826,-89,32:41:00,17.3,18.4,5.2,7,60,20,2.2,47.7,2.4,0.65,65,0.95,-0.5,-769,3.25,0.65,44.7,31.9,2772,3.1,1.1,1.38
GameWard,S14,FR,27,44.40%,0.78,1816,-85,31:14:00,13,16.7,5.5,6.7,59.3,44.4,2.04,45.1,3,0.56,55.6,0.85,0.1,-564,4.63,0.74,48.8,32.5,2327,3.2,1.22,1.38
Geekay Esports,S14,AL,31,77.40%,1.46,2009,222,30:57:00,20.7,14.2,8,4.4,51.6,74.2,2.65,62.3,2.6,0.58,58.1,1.03,0.6,1899,5.48,0.84,60.6,33.9,2863,3.5,1.29,1.46
Gen.G Challengers,S14,KR,46,37.00%,0.71,1821,-121,31:41:00,12.1,16.9,5.5,6.6,45.7,43.5,2.07,47.3,3.1,0.39,39.1,0.89,-0.2,-1095,4.61,0.54,36.7,34.4,2672,3.5,1.26,1.78
Gen.G eSports,S14,KR,40,87.50%,1.6,2023,305,30:24:00,15.3,9.6,8.7,3.4,45,70,2.88,68.5,3.3,0.5,50,1.03,0.6,1826,5.95,0.98,74.8,36.3,2941,3.6,1.25,1.72
Gentle Mates,S14,FR,18,22.20%,0.82,1815,-114,30:57:00,12.2,14.9,4.8,8.1,66.7,38.9,1.39,29.9,3.1,0.5,50,0.61,-0.1,201,4.56,0.5,29.2,33.2,2459,3.3,1.17,1.47
GIANTX,S14,EUW,21,33.30%,0.89,1739,-152,33:20:00,11,12.4,4.9,8,52.4,23.8,2.43,50.4,3.1,0.24,23.8,1.14,-0.7,-1798,2.52,0.81,45.8,32.6,2231,3.7,1.27,1.82
GIANTX Pride,S14,ES,25,44.00%,1.09,1834,26,31:49:00,12.9,11.9,6,6.3,60,52,2.24,51,2.4,0.6,60,1.12,0,363,4.6,0.76,46,33.1,2370,3.3,1.16,1.49
GLORE,S14,CZ,14,42.90%,0.91,1829,-78,33:01:00,15.2,16.6,5.6,7.4,35.7,42.9,2.21,47,2.2,0.43,42.9,0.93,0.1,-476,3.14,0.64,36.9,33.2,2606,3,0.99,1.44
GnG Amazigh,S14,AL,14,57.10%,1.21,1906,24,31:26:00,19.5,16.1,6.9,6.1,57.1,42.9,2.64,54.3,1.7,0.14,14.3,1.07,0.1,-726,3.57,0.93,54.2,31.1,2764,2.9,0.79,1.29
Ground Zero Gaming,S14,OCE,34,79.40%,1.42,2084,334,27:17:00,19.9,13.9,8,2.9,50,79.4,1.44,40.4,4.2,0.59,60.6,0.5,1,2474,7.44,0.85,80,34.5,3175,2.6,0.8,1.37
GRP Esports,S14,PL,19,42.10%,0.86,1832,-114,29:45:00,14.1,16.2,5.3,6.8,47.4,42.1,1.95,47.6,3.3,0.37,36.8,1,-0.2,-710,3.47,0.53,38.9,33.3,2582,2.9,0.9,1.35
GTZ Esports,S14,PT,35,60.00%,1.1,1908,61,31:41:00,16.7,15.2,6.9,5.8,48.6,65.7,2.29,48.5,3.2,0.66,65.7,0.77,0.4,539,5.34,0.71,47.1,33.9,2457,3.1,0.91,1.3
Guasones,S14,ES,18,38.90%,0.81,1781,-103,31:01:00,12.7,15.7,5.5,6.9,44.4,44.4,2.06,46.8,3.1,0.56,55.6,1,-0.2,-223,3.56,0.56,38.9,31.5,2418,3.3,1.04,1.44
Hallow Crows,S14,TR,16,6.30%,0.44,1628,-454,27:02:00,8.5,19.1,1.9,9.1,37.5,6.3,1.13,30.2,1.4,0.31,31.3,0.63,-1,-3601,1.81,0.13,13.3,30.9,1818,2.4,0.83,1.05
Hanwha Life eSports,S14,KR,41,73.20%,1.44,1940,198,30:37:00,13.8,9.5,7.4,4.2,63.4,73.2,2.51,62.3,3,0.71,70.7,0.83,0.1,1332,4.59,0.93,72.6,36.1,2554,3.7,1.26,1.83
HELL PIGS,S14,PCS,18,11.10%,0.49,1673,-370,28:07:00,9.5,19.5,2.3,8.4,33.3,27.8,1.28,34.3,1.8,0.28,27.8,0.56,-0.6,-2699,2.56,0.17,17.9,32,2550,3,1.1,1.48
Hell Zerolag Esports,S14,GR,14,35.70%,0.78,1844,-141,30:01:00,16.7,21.5,5.4,6.9,21.4,50,1.5,40,2.9,0.71,71.4,0.71,-0.4,-1572,3.43,0.5,35.7,31.4,2743,3,0.67,1.12
Heracles Gaming,S14,ES,14,42.90%,0.83,1811,-69,33:24:00,15.3,18.4,5.6,7.3,42.9,57.1,1.86,39.1,2.7,0.64,69.2,0.93,0.1,15,4.71,0.93,45.8,31.3,2525,2.9,1.04,1.32
Heretics Academy,S14,ES,43,69.80%,1.42,1957,206,29:58:00,16.8,11.8,7.5,4.1,60.5,62.8,2.47,60.8,3.6,0.51,51.2,0.84,0.3,1190,5.16,0.86,67.1,34.4,2654,3,0.9,1.4
HLE Challengers,S14,KR,51,49.00%,0.96,1818,-52,33:27:00,12.3,12.9,5.7,6.6,60.8,41.2,2.25,48.1,2.9,0.61,60.8,0.76,-0.2,-329,3.45,0.82,46.9,34.4,2540,3.4,1.34,1.55
Hurricane of Feathers,S14,PT,21,42.90%,0.71,1807,-75,29:31:00,12.4,17.5,5.6,6.3,33.3,52.4,1.95,45.3,3.1,0.29,28.6,0.86,0,-1098,4.81,0.67,47.5,31.8,2369,2.8,0.77,1.1
Ici Japon Corp. Esport,S14,FR,26,80.80%,1.34,1990,221,30:26:00,18.2,13.5,8.7,4.1,50,69.2,2.23,52.1,3.3,0.38,40,0.85,0.4,559,5.38,1.04,79.5,33.2,2901,3,0.97,1.39
Ilha das Lendas,S14,BR,26,53.80%,1.01,1891,36,32:32:00,16.6,16.3,6.5,5.7,50,46.2,2.5,51,2.5,0.5,50,1,0,815,4.31,1,59.7,33.8,2666,3.7,1.28,1.56
Immortals,S14,NA,15,20.00%,0.58,1722,-192,33:06:00,8.7,14.9,4.2,7.4,40,33.3,2,41.1,2.7,0.67,66.7,0.6,-0.1,-868,3.6,0.8,35,34.2,2333,3.5,1.28,1.76
Infinity eSports,S14,LAT,40,52.50%,0.86,1902,15,31:19:00,15.1,17.6,6.5,5.9,35,50,2.15,49.1,2.6,0.38,37.5,0.93,0.2,-56,5.38,0.5,40.8,34.3,2610,3.1,1.01,1.63
INTZ Academy,S14,BR,13,7.70%,0.39,1609,-455,28:04:00,7,18,2.3,9.5,38.5,15.4,0.85,20.1,2.2,0.46,46.2,0.54,-1.1,-3542,2.77,0.15,6.1,30.7,1939,2.8,1.11,1.35
INTZ e-Sports,S14,BR,18,44.40%,0.78,1781,-99,30:10:00,11.9,15.3,5.5,6.8,44.4,44.4,1.94,44.5,2.3,0.56,58.8,1,-0.2,-1116,4.11,0.61,41.7,32.9,2311,3.4,1.32,1.59
Invictus Gaming,S14,CN,40,42.50%,0.88,1834,-97,31:52:00,13.4,15.3,5.1,7.1,55,25,2.4,52.8,2.2,0.45,45,-,-,-873,-,0.73,45.3,33.4,2445,3.5,1.36,1.77
ION Global Esports,S14,OCE,21,47.60%,0.96,1870,-88,27:34:00,17.8,18.5,5.2,6.3,38.1,28.6,2,60.6,2.9,0.33,33.3,0.86,-0.5,-1275,3.76,0.62,55.6,31.3,2865,2.6,0.82,1.03
Iron Wolves,S14,PL,14,7.10%,0.34,1638,-532,25:48:00,7.6,22.1,1.9,9.7,42.9,21.4,0.86,28.5,2.4,0.07,7.7,0.5,-0.9,-4158,3.21,0.07,3.8,31.4,2075,2.4,0.64,0.96
Isurus,S14,LAT,33,57.60%,1.2,1909,54,32:00:00,17.2,14.3,6.7,5.9,45.5,39.4,2.33,51.9,3,0.48,48.5,0.88,-0.4,-323,3.33,0.79,54.5,33.9,2650,3.5,1.26,1.59
IZI Dream,S14,FR,32,56.30%,1.17,1947,96,31:51:00,19.4,16.6,7.2,5.6,46.9,59.4,2.91,65.5,1.9,0.25,25.8,1.25,0.3,811,5.06,0.78,51,33.6,2869,2.9,0.81,1.35
J Team,S14,PCS,28,35.70%,0.83,1761,-165,30:09:00,11.9,14.4,4.9,6.8,53.6,28.6,2.14,49.4,2.3,0.71,74.1,1,-0.4,-1227,3.29,0.5,38.5,32.6,2535,3.5,1.39,1.43
JD Gaming,S14,CN,38,63.20%,1.19,1930,93,32:10:00,14.9,12.5,6.9,5.7,50,63.2,2.39,56.1,3.5,0.55,55.3,-,-,1136,-,0.79,56.2,35.3,2618,4,1.22,1.87
Joblife,S14,FR,24,66.70%,1.22,1922,102,31:40:00,19.7,16,7.4,5.3,66.7,66.7,2.33,53.4,2.5,0.54,54.2,0.88,0.3,525,5.83,0.71,53,31.5,2771,3.5,1.17,1.27
KaBuM! Academy,S14,BR,23,43.50%,0.97,1821,-63,33:44:00,14,14.4,5.7,6.7,52.2,56.5,2.39,48.6,2.9,0.48,47.8,0.87,0,-122,3.61,0.91,44.9,33.4,2282,3.8,1.37,1.58
KaBuM! e-Sports,S14,BR,19,47.40%,1.01,1807,-16,32:16:00,12.7,12.6,5.9,6.2,36.8,36.8,2.32,50.6,2.8,0.37,36.8,1,-0.3,-495,3.68,0.95,61.1,33.4,2385,3.4,1.24,1.51
Kanga Esports,S14,OCE,14,0.00%,0.4,1627,-525,25:12:00,9.4,23.6,1.4,9.1,21.4,28.6,0.5,21,1.1,0.29,28.6,0.21,-1.1,-4075,3.29,0,0,29.5,2171,2.3,0.81,0.92
Karmine Corp,S14,EUW,21,47.60%,0.92,1782,-81,33:38:00,11.3,12.2,5.2,7.4,42.9,42.9,1.95,40.8,2.3,0.38,38.1,0.76,0,-630,3.62,0.48,31.7,33.7,2195,3.8,1.3,1.73
Karmine Corp Blue,S14,FR,38,73.70%,1.33,1958,174,31:01:00,17.8,13.4,7.8,4.3,47.4,73.7,2.74,60.5,2.8,0.66,65.8,1.08,0.4,1273,5.13,0.95,66.2,33.6,2952,3.5,1.28,1.62
KATANA,S14,TR,21,47.60%,1.05,1878,53,32:12:00,16.4,15.6,5.7,5.9,42.9,61.9,2.67,61.4,2.3,0.43,45,1.1,0.3,565,3.57,0.62,47.2,34,2571,2.4,0.69,1.09
Kaufland Hangry Knights,S14,DE,28,67.90%,1.33,2001,201,30:25:00,20,15.1,8.1,4.6,42.9,67.9,2.68,61.1,3,0.79,78.6,1.11,0.2,1364,6.39,0.82,64.8,33.7,2939,3,0.94,1.13
KDF Challengers,S14,KR,52,48.10%,0.94,1882,33,31:25:00,13.3,14,6.2,5.8,44.2,44.2,2.27,54.7,3.1,0.69,69.2,0.83,0.2,208,4.94,0.77,53.9,34.7,2565,3.5,1.34,1.69
Keypulse Esports,S14,PT,14,35.70%,0.75,1774,-134,31:31:00,12.9,17.1,4.2,7.4,42.9,28.6,2,42.6,2.8,0.57,57.1,1.14,-0.1,-230,3.29,0.36,30.8,32,2392,2.8,0.82,1.18
Klanik Esport,S14,FR,18,33.30%,0.76,1777,-144,32:04:00,14.8,19.4,4.9,7.6,44.4,22.2,2.17,47.2,2.2,0.5,52.9,0.78,-0.3,-618,3.28,0.83,50,30.9,2423,3,0.92,1.25
KRC Genk Esports,S14,BE,14,0.00%,0.26,1523,-653,23:19,5.4,20.7,0.7,9.2,42.9,21.4,0.71,23.8,1,0.21,21.4,0.5,-1,-4968,1.93,0,0,28.8,1702,2.3,0.68,0.89
KT Challengers,S14,KR,48,77.10%,1.58,1981,225,27:43:00,17.3,10.9,7.6,3.9,60.4,64.6,2.44,69,3.3,0.71,70.8,1.15,0.3,1244,5.25,0.69,65.9,34.2,2920,3.5,1.29,1.58
KT Rolster,S14,KR,48,45.80%,1.05,1812,-38,31:48:00,12.6,12,5.6,5.9,56.3,56.3,2.4,54,3.2,0.54,54.2,1.02,0.3,241,4.46,0.6,45.2,33.8,2440,3.6,1.5,1.73
Kwangdong Freecs,S14,KR,44,47.70%,0.81,1837,-51,31:08:00,10.3,12.8,5.7,6.1,31.8,43.2,2.57,57.6,2.5,0.43,43.2,0.91,-0.2,-997,3.48,0.55,41.5,36.1,2411,3.2,1.06,1.71
Leviatan,S14,LAT,20,40.00%,0.87,1818,-135,30:58:00,15.3,17.6,5.4,7,50,30,1.6,34.8,3.7,0.55,55,0.55,-0.4,-1212,3,0.65,42.5,32.3,2691,3.2,1.22,1.46
LGD Gaming,S14,CN,42,38.10%,0.81,1821,-83,33:08:00,12.4,15.4,5.3,6.8,31,28.6,2.26,49.1,3.5,0.43,42.9,-,-,-1013,-,0.6,36.2,34.4,2451,3.5,1.24,1.77
Liberty,S14,BR,18,16.70%,0.5,1706,-289,29:41:00,9.7,19.4,3.8,8.4,44.4,33.3,1.39,36.7,2.8,0.28,27.8,0.61,0.1,-1397,3.17,0.5,30.6,32,2265,3,1.01,1.44
Liberty Academy,S14,BR,18,33.30%,0.62,1737,-200,30:30:00,11.2,18.1,4.3,7.7,44.4,38.9,1.61,41.6,3,0.5,50,0.83,-0.3,-1000,3.94,0.33,23.5,32.1,2205,3,0.86,1.34
Lille Esport,S14,FR,18,33.30%,0.82,1784,-122,30:40:00,14.7,17.8,4.9,7.4,44.4,33.3,1.61,39.4,2.3,0.56,55.6,0.67,-0.3,-317,3.72,0.67,38.9,30.4,2618,3,1.11,1.18
LNG Esports,S14,CN,44,54.50%,1.12,1868,41,32:47:00,12.9,11.5,6.5,5.8,54.5,52.3,2.43,54.3,2.2,0.52,52.3,-,-,225,-,0.84,59.3,34.6,2462,3.5,1.2,1.75
Los Grandes,S14,BR,18,11.10%,0.72,1736,-181,33:04:00,10.6,14.7,4.4,8.9,55.6,44.4,1.89,40.6,2.6,0.56,55.6,0.78,-0.1,-109,4.17,0.33,24.5,33.1,1996,3.8,1.31,1.33
Los Grandes Academy,S14,BR,13,30.80%,0.78,1801,-95,32:04:00,12,15.4,5.2,7.4,53.8,53.8,2.31,48.1,2.8,0.23,23.1,0.62,0.3,233,4.69,0.38,41.7,33.5,2235,3.1,1.13,1.48
LOUD,S14,BR,34,47.10%,0.85,1815,-34,32:40:00,14.1,16.6,5.9,6.1,26.5,52.9,2.15,47.2,2.6,0.59,60.6,0.85,0.1,-564,4.21,0.53,38,32.7,2680,3.7,1.32,1.62
LOUD Academy,S14,BR,18,33.30%,0.88,1775,-128,33:29:00,13.1,14.9,5.1,7.7,44.4,33.3,2.61,54.3,2.9,0.61,61.1,1.11,0.1,-333,3.94,0.72,44.1,32.7,2294,3.4,1.23,1.59
LUA Gaming,S14,ES,18,38.90%,0.75,1787,-117,33:17:00,13.7,18.3,5,7.3,38.9,50,2.28,47.4,2.8,0.33,33.3,0.83,-0.2,-1219,3.72,0.83,46.3,31.2,2780,3.2,0.92,1.53
