Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Sylas,40,36,2%,22,18,55%,3.1,8.2,29:57:00,8,595,427,-13.4,-275,-159
Nasus,36,39,2%,16,20,44%,2.1,5.9,29:42:00,7.8,565,389,-5.9,-167,-164
Sivir,51,16,2%,28,23,55%,5.3,8.8,30:47:00,9.9,730,455,2.1,78,73
Tahm Kench,41,23,2%,12,29,29%,2.1,8.6,32:03:00,3.8,217,278,45.6,565,1009
Wukong,52,9,2%,24,28,46%,2.7,8.4,33:48:00,6,359,346,-6.3,-61,-330
Viktor,38,21,2%,14,24,37%,2.6,5,29:49:00,8.8,837,428,2.3,-37,62
Pantheon,29,29,2%,13,16,45%,2,5.2,33:36:00,6.2,544,360,2.6,378,162
Irelia,28,29,2%,10,18,36%,2.1,7.4,30:33:00,9.2,541,437,4,-247,-19
Urgot,20,31,1%,9,11,45%,2,6.5,33:28:00,8.2,530,414,2,117,-70
Rengar,12,38,1%,4,8,33%,1.5,3,28:13:00,6.5,341,352,-3.6,-87,-676
Nilah,20,30,1%,11,9,55%,2.8,4.4,31:01:00,8.7,388,423,2.4,-45,386
Gangplank,36,12,1%,20,16,56%,3.3,8.3,32:03:00,8.4,726,438,-5.1,97,-24
Lux,22,26,1%,10,12,45%,3.1,5,31:06:00,5.2,482,330,-4.8,-40,-2
Morgana,34,14,1%,17,17,50%,3.6,7.3,31:06:00,6.2,564,367,7.1,201,260
Thresh,30,17,1%,10,20,33%,2.5,8.2,31:10:00,1.1,165,243,-3.1,-162,-5
Annie,30,15,1%,16,14,53%,3,3.3,30:49:00,7.5,631,397,-7.9,-418,-305
KogMaw,33,10,1%,15,18,45%,3.5,6.6,30:34:00,8.8,882,449,2.4,98,92
Belveth,12,31,1%,3,9,25%,1.7,5.9,29:16:00,7,257,369,8.9,-206,155
KhaZix,37,5,1%,10,27,27%,2.5,8.2,31:33:00,6.6,455,372,-5.2,-158,-341
Nunu,8,32,1%,7,1,88%,5.5,2.3,31:38:00,6.2,393,366,-0.6,27,-69
Graves,24,9,1%,9,15,38%,3.2,8.1,32:16:00,7.9,479,410,7.6,-6,271
Riven,10,21,1%,8,2,80%,3.1,5.8,31:59:00,8.5,483,423,2.2,98,-56
Akshan,12,19,1%,6,6,50%,3,5.7,30:09:00,8.5,548,412,-5.5,-417,-217
Zed,13,17,1%,6,7,46%,2.5,7.8,28:57:00,7.9,618,419,-7,-225,-60
Illaoi,7,20,1%,5,2,71%,1.9,5.3,25:59:00,8.4,844,426,32.7,1564,496
Vladimir,6,18,1%,2,4,33%,2.3,1.5,31:45:00,8.4,651,391,9.5,-81,379
Zoe,7,17,1%,4,3,57%,4.2,3,29:17:00,7.8,604,396,-18.7,-915,-760
Sett,23,1,1%,8,15,35%,1.5,9,30:24:00,5.7,470,334,-7.8,-550,-295
Shen,21,2,1%,9,12,43%,3.3,8,29:42:00,4.5,347,324,-14.2,-455,-211
Xerath,13,10,1%,4,9,31%,4.4,5.3,33:55:00,7.3,949,411,3.9,335,518
Twitch,12,9,1%,5,7,42%,3.5,6.3,30:21:00,7.9,609,406,-18,-411,-276
Garen,10,10,1%,4,6,40%,1.3,7.6,32:29:00,8.2,584,403,0,-280,-372
Taric,16,3,1%,7,9,44%,2.5,9.7,31:20:00,1.2,111,238,-18.6,-407,-470
Samira,8,11,1%,4,4,50%,4.2,7.5,31:00:00,9,515,472,0.3,405,102
Ryze,15,3,0%,6,9,40%,1.9,7.7,30:08:00,8.8,594,402,-8.2,-497,-783
Heimerdinger,7,9,0%,3,4,43%,2.8,3.8,34:28:00,5.7,807,374,2.6,339,-367
Naafiri,4,11,0%,4,0,100%,6,3.5,28:53:00,8.6,756,490,8.2,387,334
VelKoz,7,7,0%,5,2,71%,6.8,4.6,31:58:00,8,869,429,-4.1,-250,-60
Soraka,10,3,0%,5,5,50%,4.2,7.7,29:00:00,3.6,269,287,-3.3,-378,-473
Anivia,3,9,0%,2,1,67%,9.8,6.6,34:28:00,8.3,592,413,-4.7,-144,-336
Hecarim,11,1,0%,6,5,55%,3.3,7,33:24:00,7,396,371,12.3,429,594
Janna,6,6,0%,2,4,33%,4.5,7.5,34:16:00,1.2,238,256,-0.3,514,827
Kassadin,5,7,0%,4,1,80%,4.9,7.4,28:43:00,9.1,595,474,3.4,7,363
Lissandra,12,0,0%,4,8,33%,3.2,-,28:43:00,6.9,566,368,2.7,-135,175
Kayn,5,6,0%,4,1,80%,5.7,3.3,35:00:00,6.3,630,422,0,359,340
Vex,8,3,0%,5,3,63%,2.7,9.3,28:16:00,8.3,586,391,-8,-503,-422
Malzahar,9,1,0%,5,4,56%,2.6,8,33:25:00,8.2,552,413,-14.8,-868,-927
Ekko,5,5,0%,2,3,40%,1.8,5,28:37:00,9.6,476,429,-7,-212,-17
Fiddlesticks,5,4,0%,2,3,40%,1.9,6,25:54:00,6,464,348,-13.4,87,-549
Swain,6,3,0%,2,4,33%,4.5,9,27:42:00,7.7,697,391,-2.8,197,69
Kled,4,5,0%,0,4,0%,1.8,5.6,38:04:00,8,615,385,-0.8,-220,-89
Veigar,5,3,0%,3,2,60%,4.1,8.7,32:37:00,8.4,711,435,1,-11,-207
Chogath,6,0,0%,4,2,67%,2.1,-,29:17:00,7.8,575,402,-2.8,74,-46
Kayle,4,2,0%,1,3,25%,3.1,9,30:46:00,9.5,430,416,-3.2,-119,-10
Trundle,3,3,0%,1,2,33%,1.6,9.7,33:02:00,5.4,203,314,11.7,-229,-20
Evelynn,1,4,0%,1,0,100%,12,6,33:47:00,6.7,802,430,1,1183,550
Talon,5,0,0%,3,2,60%,3.8,-,29:29:00,8.1,488,414,0.8,165,86
Elise,4,0,0%,2,2,50%,1.1,-,30:04:00,3.5,241,299,-11.5,-55,-658
Katarina,1,3,0%,1,0,100%,0.8,6,24:00:00,6.4,238,367,-35,-1502,-1008
Yorick,2,2,0%,1,1,50%,2.8,6.5,31:00:00,8.8,503,434,-19.5,-688,-741
Sona,3,0,0%,2,1,67%,5,-,29:15:00,0.9,223,262,-40.3,-742,-832
Warwick,2,1,0%,1,1,50%,2.1,10,30:01:00,7.6,521,382,9.5,343,54
Zilean,3,0,0%,1,2,33%,3.1,-,29:38:00,6.5,341,339,-2.3,-820,372
Quinn,1,1,0%,0,1,0%,0.5,10,32:30:00,8.9,521,339,13,251,120
Teemo,1,1,0%,1,0,100%,1.3,1,25:31:00,8.4,807,431,14,-117,-507
Yuumi,1,1,0%,0,1,0%,4,10,33:05:00,0.8,176,214,-1,37,607
Singed,1,0,0%,1,0,100%,3.4,-,28:25:00,0.9,262,313,10,638,495
Qiyana,1,0,0%,0,1,0%,1,-,19:26,7.4,413,396,-20,-1391,-1332
Briar,0,1,0%,,,,,6,,,,,,,
Fizz,0,0,0%,,,,,-,,,,,,,
Master Yi,0,0,0%,,,,,-,,,,,,,
Rammus,0,0,0%,,,,,-,,,,,,,
Shaco,0,0,0%,,,,,-,,,,,,,
